State,FIPS,Link,Cases,,Vaccination,,Cases,,,,,,,,,Vaccination,,,,,,,,,Vaccine Unit,,,,,,,,,,,,,,
,,,Date Accessed,Data Date,Date Accessed,Data Date,AI/AK,API,"B,NH",H,"W,NH",Multiple or Other,Missing,Unknown,Total,AI/AK,API,"B,NH",H,"W,NH",Multiple or Other,Missing,Unknown,Total,,,,,,,,,,,,,,,
NY State [excludes NYC],,https://health.ny.gov/diseases/communicable/zoonoses/monkeypox/data/,11/10/22,11/6/22,11/10/22,11/10/22,1,8,65,116,103,14,,54,361,51,714,1390,2280,10150,560,715,335,16195,People,,,,,,,,,,,,,,
NY City,,https://www.nyc.gov/site/doh/data/health-tools/monkeypox.page#vaccine,11/11/22,11/10/22,11/11/22,11/10/22,,133,1020,1295,851,64,391,,3754,,10777,13113,24134,47252,5194,,,100470,,,,,,,,,,,,,,,
New York,36,,,,,,1,141,1085,1411,954,78,391,54,4115,51,11491,14503,26414,57402,5754,715,335,116665,,,,,,,,,,,,,,,
Alabama,1,https://www.alabamapublichealth.gov/monkeypox/data.html,11/10/22,11/10/22,,,,,117,,41,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,4,https://www.azdhs.gov/preparedness/epidemiology-disease-control/monkeypox/dashboard/,11/10/22,11/10/22,,,28.99,5.02,58.99,183.98,191.99,20.98,,74.00,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,5,https://experience.arcgis.com/experience/2ea83bc80b244a1680ff0ac1d89f23db/page/Monkeypox/?views=Outbreak-Information,11/10/22,11/10/22,,,,4,43,,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,6,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Monkeypox-Data.aspx?gclid=Cj0KCQiA37KbBhDgARIsAIzce14RWwcufJR37KWuJsDtO147DIKmzgbbHW6FHbKX2BFzSLQ_WnNXvKUaAtpZEALw_wcB,11/10/22,11/10/22,11/10/22,11/10/22,22,319,647,2245,1598,175,,541,,443,20787,11967,44641,77258,12128,,2204,,People,,,,,,,,,,,,,,
Colorado,8,https://cdphe.colorado.gov/diseases-a-to-z/monkeypox,11/10/22,11/10/22,11/10/22,11/9/22,2,7,41,127,152,12,3,1,,125.334,348.15,640.596,1601.49,9873.534,821.634,,515.262,,People,,,,,,,,,,,,,,
Connecticut,9,https://app.powerbigov.us/view?r=eyJrIjoiNDI3N2FkMGMtOTU5MS00NWRlLThiMzktNWFkYmU2MDAyNmE0IiwidCI6IjExOGI3Y2ZhLWEzZGQtNDhiOS1iMDI2LTMxZmY2OWJiNzM4YiJ9,11/10/22,11/10/22,11/10/22,11/10/22,0,3,33,42,53,2,,10,,6,205,490,1052,2688,351,,98,,People,,,,,,,,,,,,,,
Delaware,10,https://publichealthalerts.delaware.gov/monkeypox/#data-in-delaware,,,,,,,,,,,,,43,,,,,,,,,"1,643",People,,,,,,,,,,,,,,
Florida,12,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency&FirstTime=True,11/10/22,11/10/22,,,,,,,,,,,"2,778",,,,,,,,,,,,,,,,,,,,,,,,
Georgia,13,https://dph.georgia.gov/ga-monkeypox-outbreak-cases-and-vaccinations,11/10/22,11/9/22,11/10/22,11/9/22,5,22,1497,,289,88,,28,1929,96,825,11851,,11267,2564,275,,26878,People,,,,,,,,,,,,,,
Hawaii,15,https://health.hawaii.gov/docd/disease_listing/monkeypox/,,,,,,,,,,,,,39,15%,41%,3%,,32%,2%,,2%,4611,Doses,,,,,,,,,,,,,,
Idaho,16,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/IDHW_MPX_Dashboard/Demographics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,17,https://dph.illinois.gov/monkeypox/data.html,11/10/22,11/10/22,,,1,42,426,418,484,12,,16,1399,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,18,https://www.in.gov/health/erc/infectious-disease-epidemiology/diseases-and-conditions-resource-page/monkeypox/monkeypox-dashboard/,,,,,2.3,,108.3,,112.6,49.6,,12.3,285,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,19,https://idph.iowa.gov/ehi/monkeypox,11/11/22,11/9/22,11/11/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,20,https://www.kdhe.ks.gov/1923/Monkeypox,11/11/22,11/9/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,21,https://www.chfs.ky.gov/agencies/dph/dehp/idb/Pages/monkeypox.aspx?View=October&Title=Table%20Viewer%20Webpart,11/11/22,11/9/22,,,0,0,19,,35,20,,0,74,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,22,"https://ldh.la.gov/page/monkeypox#:~:text=Monkeypox%20Information,-Monkeypox%20Overview&text=As%20part%20of%20this%202022,tested%20and%20identified%20to%20date.",11/11/22,11/6/22,11/11/22,11/7/22,1,3,177,,86,10,,10,287,41,202,2143,,4751,1394,,562,9093,People,,,,,,,,,,,,,,
Maine,23,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/zoonotic/monkeypox.shtml#resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,24,https://health.maryland.gov/phpa/OIDEOR/Pages/monkeypox.aspx,11/11/22,11/11/22,,,9,10,445,,114,37,,108,723,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,25,https://www.mass.gov/doc/weekly-report-monkeypox-cases-and-people-vaccinated-november-10-2022/download,11/11/22,11/10/22,11/11/22,11/9/22,1,15,65,137,205,17,,5,445,21,"1,222",970,"2,480","12,074","1,284",,"1,333",19384,People,,,,,,,,,,,,,,
Michigan,26,https://www.michigan.gov/mdhhs/keep-mi-healthy/communicablediseases/diseasesandimmunization/mpv/monkeypox-epi-data,11/11/22,11/8/22,11/11/22,11/8/22,1,5,208,,116,14,,8,352,62,202,1213,542,4409,535,,1271,7692,People,,,,,,,,,,,,,,
Minnesota,27,https://www.health.state.mn.us/diseases/monkeypox/stats/index.html,11/10/22,11/10/22,,,1%,4%,18%,22%,48%,4%,,2%,233,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,28,"https://msdh.ms.gov/page/14,0,431.html",11/10/22,11/7/22,11/10/22,,,,86%,,11%,,,3%,105,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,29,https://stlouiscountymo.gov/st-louis-county-departments/public-health/monkeypox-data/,11/10/22,11/7/22,11/10/22,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,
Montana,30,https://dphhs.mt.gov/publichealth/cdepi/diseases/monkeypox,11/10/22,11/10/22,11/10/22,11/10/22,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
